Rank,Title,Year,Rating
151,151. Prisoners, (904K),8.2
152,152. Kill Bill: Vol. 1, (1.3M),8.2
153,153. A Beautiful Mind, (1M),8.2
154,154. The Treasure of the Sierra Madre, (140K),8.2
155,155. Howl's Moving Castle, (499K),8.2
156,156. Finding Nemo, (1.2M),8.2
157,157. Yojimbo, (141K),8.2
158,158. The Great Escape, (274K),8.2
159,159. The Best of Youth, (27K),8.4
160,160. Monty Python and the Holy Grail, (597K),8.2
161,161. The Elephant Man, (278K),8.2
162,162. Klaus, (222K),8.2
163,163. Dial M for Murder, (202K),8.2
164,164. Gone with the Wind, (352K),8.2
165,165. The Secret in Their Eyes, (238K),8.2
166,166. Chinatown, (372K),8.1
167,"167. Lock, Stock and Two Smoking Barrels", (643K),8.1
168,168. Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle, (52K),8.5
169,169. V for Vendetta, (1.2M),8.1
170,170. Rashomon, (193K),8.1
171,171. Inside Out, (892K),8.1
172,172. Catch Me If You Can, (1.2M),8.1
173,"173. Three Billboards Outside Ebbing, Missouri", (595K),8.1
174,174. Trainspotting, (760K),8.1
175,175. The Bridge on the River Kwai, (246K),8.1
176,176. Harry Potter and the Deathly Hallows: Part 2, (1M),8.1
177,177. Raging Bull, (404K),8.1
178,178. Fargo, (770K),8.1
179,179. Warrior, (522K),8.1
180,180. The Wild Robot, (204K),8.2
181,181. Dead Poets Society, (622K),8.1
182,182. Million Dollar Baby, (757K),8.1
183,183. Barry Lyndon, (199K),8.1
184,184. Ben-Hur, (268K),8.1
185,185. Mad Max: Fury Road, (1.2M),8.1
186,186. Gran Torino, (852K),8.1
187,187. My Neighbor Totoro, (420K),8.1
188,188. Children of Heaven, (88K),8.2
189,189. Hacksaw Ridge, (660K),8.1
190,190. The Grand Budapest Hotel, (948K),8.1
191,191. 12 Years a Slave, (776K),8.1
192,192. Before Sunrise, (369K),8.1
193,193. Blade Runner, (869K),8.1
